T, PyD, PyDD, PyDT
0, 7.002328, 6.990306, 7.236827
0.1, 7.000979, 6.991875, 7.233269
0.2, 7.001919, 6.990196, 7.234918
0.3, 7.001389, 6.992914, 7.234548
0.4, 7.002493, 6.996022, 7.234638
0.5, 7.000614, 6.99913, 7.236532
0.6, 7.003438, 7.002948, 7.235592
0.7, 7.001654, 7.001529, 7.233209
0.8, 6.997771, 7.005411, 7.235193
0.9, 6.999385, 7.007775, 7.234323
1, 6.997756, 7.005926, 7.235183
1.1, 6.994683, 7.011798, 7.225663
1.2, 6.996067, 7.01592, 7.235003
1.3, 6.997286, 7.018339, 7.232884
1.4, 6.996632, 7.019738, 7.236727
1.5, 6.994678, 7.02412, 7.232729
1.6, 6.995457, 7.026339, 7.233978
1.7, 6.996117, 7.030556, 7.236392
1.8, 7.001279, 7.028178, 7.236372
1.9, 7.001394, 7.03205, 7.234433
2, 7.002708, 7.033494, 7.233499
2.1, 7.000499, 7.034879, 7.234228
2.2, 7.004697, 7.037997, 7.240594
2.3, 7.008125, 7.039681, 7.237466
2.4, 7.011788, 7.038097, 7.2399
2.5, 7.018029, 7.037032, 7.242583
2.6, 7.019318, 7.045537, 7.244597
2.7, 7.021981, 7.046067, 7.243827
2.8, 7.027238, 7.043433, 7.24817
2.9, 7.031141, 7.045472, 7.250688
3, 7.034144, 7.049305, 7.249879
3.1, 7.034159, 7.045907, 7.252227
3.2, 7.036098, 7.050419, 7.253856
3.3, 7.039561, 7.051638, 7.256155
3.4, 7.043144, 7.051938, 7.257904
3.5, 7.043483, 7.0489, 7.260532
3.6, 7.047406, 7.053442, 7.260152
3.7, 7.045102, 7.051424, 7.261362
3.8, 7.047491, 7.054477, 7.265324
3.9, 7.053153, 7.0573, 7.266684
4, 7.056855, 7.056366, 7.269167
4.1, 7.059639, 7.059973, 7.270331
4.2, 7.058594, 7.060423, 7.271671
4.3, 7.059209, 7.062992, 7.271945
4.4, 7.061148, 7.063391, 7.273559
4.5, 7.062367, 7.06617, 7.276383
4.6, 7.066954, 7.072506, 7.278022
4.7, 7.067174, 7.066844, 7.276618
4.8, 7.070167, 7.067864, 7.28027
4.9, 7.075424, 7.069917, 7.281365
5, 7.0741, 7.071721, 7.283703
5.1, 7.078797, 7.0744, 7.28072
5.2, 7.079736, 7.072436, 7.282299
5.3, 7.081505, 7.073385, 7.283653
5.4, 7.085053, 7.074854, 7.28937
5.5, 7.085563, 7.077093, 7.286162
5.6, 7.086482, 7.080951, 7.287241
5.7, 7.088901, 7.078767, 7.286816
5.8, 7.091479, 7.080596, 7.287181
5.9, 7.095957, 7.085663, 7.28846
6, 7.097236, 7.085298, 7.291633
6.1, 7.096326, 7.084928, 7.293762
6.2, 7.099719, 7.084449, 7.292653
6.3, 7.0994, 7.086852, 7.293562
6.4, 7.103237, 7.092599, 7.294112
6.5, 7.104891, 7.091879, 7.296251
6.6, 7.105736, 7.087817, 7.295861
6.7, 7.106965, 7.094433, 7.295126
6.8, 7.110918, 7.094912, 7.29656
6.9, 7.110983, 7.093043, 7.295526
7, 7.111013, 7.095422, 7.29657
7.1, 7.116149, 7.095447, 7.296471
7.2, 7.117084, 7.09867, 7.301482
7.3, 7.119627, 7.101368, 7.302732
7.4, 7.120487, 7.09838, 7.302427
7.5, 7.121686, 7.101483, 7.300868
7.6, 7.124155, 7.104791, 7.303406
7.7, 7.127742, 7.104861, 7.304261
7.8, 7.128672, 7.108264, 7.307529
7.9, 7.127238, 7.10682, 7.307494
