T, M, MD, MT
0, 10.12788, 10.13066, 10.13153
0.1, 10.12888, 10.12939, 10.13145
0.2, 10.12883, 10.13091, 10.12992
0.3, 10.13162, 10.12913, 10.13165
0.4, 10.12916, 10.12912, 10.13077
0.5, 10.12976, 10.13294, 10.1296
0.6, 10.12941, 10.13063, 10.12979
0.7, 10.12864, 10.12994, 10.1287
0.8, 10.12982, 10.12895, 10.13131
0.9, 10.1299, 10.13115, 10.13233
1, 10.12814, 10.13012, 10.13369
1.1, 10.12953, 10.13161, 10.13065
1.2, 10.12957, 10.1311, 10.13301
1.3, 10.12863, 10.13086, 10.13093
1.4, 10.12971, 10.13133, 10.13175
1.5, 10.12866, 10.1289, 10.12896
1.6, 10.13062, 10.13377, 10.12854
1.7, 10.12867, 10.12945, 10.1317
1.8, 10.12554, 10.1312, 10.12776
1.9, 10.13052, 10.13139, 10.13062
2, 10.13119, 10.13077, 10.13379
2.1, 10.13065, 10.13107, 10.12919
2.2, 10.12988, 10.12959, 10.13055
2.3, 10.12992, 10.1304, 10.13218
2.4, 10.13144, 10.1313, 10.13205
2.5, 10.12811, 10.12994, 10.12863
2.6, 10.13134, 10.13202, 10.13087
2.7, 10.12999, 10.12735, 10.13049
2.8, 10.12974, 10.13133, 10.13139
2.9, 10.13122, 10.1297, 10.12965
3, 10.12902, 10.13021, 10.12931
3.1, 10.13183, 10.13037, 10.13336
3.2, 10.12889, 10.13061, 10.12973
3.3, 10.12921, 10.12981, 10.13261
3.4, 10.12723, 10.12963, 10.13059
3.5, 10.13087, 10.13127, 10.1314
3.6, 10.13157, 10.13167, 10.13002
3.7, 10.13237, 10.13018, 10.12889
3.8, 10.1299, 10.12855, 10.13001
3.9, 10.13106, 10.13202, 10.13193
4, 10.13047, 10.12926, 10.12971
4.1, 10.12851, 10.12868, 10.13248
4.2, 10.12813, 10.13045, 10.13128
4.3, 10.12948, 10.13002, 10.13069
4.4, 10.12779, 10.12986, 10.12904
4.5, 10.13151, 10.13107, 10.13261
4.6, 10.13011, 10.13101, 10.13074
4.7, 10.1312, 10.12982, 10.13002
4.8, 10.12783, 10.13162, 10.12951
4.9, 10.12732, 10.13216, 10.12981
5, 10.12832, 10.12943, 10.13218
5.1, 10.12936, 10.13142, 10.12994
5.2, 10.12924, 10.13042, 10.12983
5.3, 10.13132, 10.12881, 10.12994
5.4, 10.12878, 10.12921, 10.12993
5.5, 10.13105, 10.13099, 10.13155
5.6, 10.12981, 10.13089, 10.13045
5.7, 10.12927, 10.12896, 10.12951
5.8, 10.13043, 10.12798, 10.13149
5.9, 10.13007, 10.12952, 10.12876
6, 10.12934, 10.13108, 10.13047
6.1, 10.12892, 10.13048, 10.13015
6.2, 10.12952, 10.13061, 10.13102
6.3, 10.12716, 10.12951, 10.1339
6.4, 10.12821, 10.13101, 10.13043
6.5, 10.13005, 10.1302, 10.13025
6.6, 10.1284, 10.1289, 10.13142
6.7, 10.12506, 10.12949, 10.13179
6.8, 10.13019, 10.13008, 10.13075
6.9, 10.13031, 10.13091, 10.13194
7, 10.12993, 10.12845, 10.13032
7.1, 10.12902, 10.12964, 10.13083
7.2, 10.13033, 10.13188, 10.13038
7.3, 10.12819, 10.12927, 10.13043
7.4, 10.12797, 10.13268, 10.13108
7.5, 10.12902, 10.12995, 10.13124
